epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,336.967,4.12161,7.34028,1.53221,0,0,0,0,3.54568,7.43389,1.4069,0.00058375,0.00058375,0.00058375
8,891.246,3.06304,5.24528,1.19544,0,0,0,0,3.34765,5.7867,1.34352,0.000538,0.000538,0.000538
1,209.811,4.36078,9.5426,2.16692,0,0,0,0,4.0684,8.77712,1.8534,0.000291667,0.000291667,0.000291667
3,524.033,3.67497,6.05567,1.34711,0,0,0,0,3.45468,6.81246,1.36526,0.000831833,0.000831833,0.000831833
9,1067.7,2.86662,5.00702,1.16233,0.0002,0.02381,0.01208,0.00264,2.91051,5.4273,1.20335,0.000472,0.000472,0.000472
2,410.635,3.7755,7.16367,1.56986,0,0,0,0,3.68315,7.61317,1.45001,0.00058375,0.00058375,0.00058375
4,682.483,3.34575,5.54263,1.20539,0,0,0,0,3.27816,6.39025,1.31849,0.000802,0.000802,0.000802
10,1227.02,2.79795,4.81521,1.15422,0.00081,0.05619,0.0192,0.00685,2.8268,5.18766,1.17079,0.000406,0.000406,0.000406
3,1548.07,3.58047,5.99627,1.31397,0,0,0,0,3.66255,7.10578,1.42746,0.000831833,0.000831833,0.000831833
