epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6479.36,1.87664,1.45754,0.87798,0.42014,0.6214,0.52013,0.20485,1.99389,1.45978,0.91655,0.0005941,0.0005941,0.0005941
43,6708.46,1.87389,1.46446,0.87645,0.38633,0.66864,0.54165,0.23044,1.95245,1.41272,0.91149,0.0005842,0.0005842,0.0005842
44,6987.1,1.89115,1.44085,0.86426,0.49323,0.66081,0.5866,0.26644,1.86913,1.32029,0.90877,0.0005743,0.0005743,0.0005743
45,7247.98,1.90697,1.47102,0.87468,0.41818,0.5804,0.5296,0.20925,2.01218,1.45368,0.923,0.0005644,0.0005644,0.0005644
46,7469.62,1.87532,1.47476,0.86844,0.41223,0.55672,0.50445,0.18283,2.0554,1.54415,0.94451,0.0005545,0.0005545,0.0005545
47,7705.39,1.89339,1.43355,0.87493,0.47806,0.58735,0.55649,0.24211,1.89631,1.36487,0.90818,0.0005446,0.0005446,0.0005446
48,7951.25,1.85071,1.44676,0.86171,0.30057,0.47748,0.34291,0.11914,2.25626,1.81113,0.98626,0.0005347,0.0005347,0.0005347
49,8245.95,1.8785,1.44783,0.88616,0.31005,0.52548,0.36354,0.12989,2.16627,1.79412,0.95776,0.0005248,0.0005248,0.0005248
50,8496.82,1.83733,1.44021,0.86073,0.41351,0.68581,0.54578,0.23183,1.91937,1.37429,0.91547,0.0005149,0.0005149,0.0005149
51,8746.09,1.88967,1.46896,0.86338,0.45698,0.64655,0.57288,0.24426,1.90064,1.2913,0.91337,0.000505,0.000505,0.000505
52,8994.77,1.87696,1.43225,0.87613,0.43528,0.63816,0.55317,0.21785,1.9512,1.34413,0.92652,0.0004951,0.0004951,0.0004951
53,9240.97,1.85399,1.42483,0.89319,0.43241,0.57628,0.49836,0.18454,2.02668,1.49466,0.93391,0.0004852,0.0004852,0.0004852
54,9488.51,1.82505,1.43584,0.8718,0.47117,0.64072,0.59743,0.27845,1.79569,1.29329,0.90123,0.0004753,0.0004753,0.0004753
55,9733.32,1.84217,1.43804,0.86081,0.51813,0.62538,0.60146,0.27418,1.82542,1.26642,0.90293,0.0004654,0.0004654,0.0004654
56,9981.93,1.88021,1.45463,0.86724,0.43047,0.63013,0.54664,0.22187,1.93382,1.38295,0.91187,0.0004555,0.0004555,0.0004555
