Defect class,Instances,Precision,Recall,mAP50,mAP50-95
missing_hole,70,1.0,0.9879327475201336,0.995,0.6136965221420742
mouse_bite,48,0.8588496124839393,0.7916666666666666,0.9099911912682497,0.5013888477521012
open_circuit,61,0.9340480364048916,0.9287533329586198,0.9715615108526963,0.48516127457610675
short,55,0.9279655517624188,0.9369722701284078,0.9746906639970198,0.4676243797880587
spur,90,0.959658448952256,0.7929792284630415,0.9110560268496337,0.45939340503536086
spurious_copper,101,0.8995665226734147,0.9504950495049505,0.952752962735418,0.5037129154872704
