Defect class,Instances,Precision,Recall,mAP50,mAP50-95
missing_hole,70,0.9894651984187544,1.0,0.995,0.622686319263438
mouse_bite,48,0.9152281501643048,0.7291666666666666,0.8365078771109951,0.42820319661372197
open_circuit,61,0.9270761813901799,0.8336731915116163,0.9186313313696235,0.44903372268896763
short,55,0.9337815885543165,0.9454545454545454,0.9706084496263185,0.4899554386589748
spur,90,0.9416356897951542,0.7170962681079555,0.8412244911156508,0.39990237825725966
spurious_copper,101,0.872708738773764,0.814594915222535,0.8813364346517142,0.4071470773553719
