epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6892.37,1.84492,1.1391,0.87718,0.92406,0.71114,0.80595,0.39263,1.86277,1.17519,0.91109,0.0005941,0.0005941,0.0005941
43,7057.13,1.8666,1.17321,0.87845,0.90195,0.69674,0.78654,0.37138,1.88085,1.2845,0.9128,0.0005842,0.0005842,0.0005842
44,7221.45,1.84509,1.15688,0.87242,0.91297,0.72564,0.82346,0.39659,1.86284,1.13953,0.91208,0.0005743,0.0005743,0.0005743
45,7386.24,1.84651,1.11594,0.86893,0.91121,0.75615,0.82067,0.39785,1.87407,1.14828,0.91277,0.0005644,0.0005644,0.0005644
46,7551.42,1.81958,1.12572,0.86625,0.90507,0.72881,0.81401,0.39087,1.88081,1.12655,0.91482,0.0005545,0.0005545,0.0005545
47,7716.07,1.80456,1.08502,0.88067,0.93685,0.73884,0.82517,0.40289,1.85654,1.09015,0.91437,0.0005446,0.0005446,0.0005446
48,7880.84,1.81643,1.10296,0.86265,0.94548,0.70136,0.82099,0.40265,1.82455,1.11497,0.90256,0.0005347,0.0005347,0.0005347
49,8044.93,1.81481,1.09868,0.87135,0.91364,0.73495,0.81833,0.40506,1.82857,1.09898,0.9043,0.0005248,0.0005248,0.0005248
50,8209.19,1.82227,1.09282,0.86694,0.92771,0.7458,0.81936,0.40348,1.84092,1.07687,0.90975,0.0005149,0.0005149,0.0005149
51,8374.58,1.83269,1.10687,0.88337,0.93355,0.70393,0.80977,0.39802,1.87013,1.12112,0.9117,0.000505,0.000505,0.000505
52,8539.78,1.842,1.11034,0.85756,0.91077,0.7072,0.80566,0.38398,1.88243,1.16112,0.91935,0.0004951,0.0004951,0.0004951
53,8703.64,1.77417,1.06834,0.86563,0.92815,0.74852,0.83143,0.41216,1.81367,1.0522,0.90488,0.0004852,0.0004852,0.0004852
54,8867.84,1.7609,1.05688,0.86374,0.93118,0.76114,0.84282,0.41431,1.81978,1.03505,0.9054,0.0004753,0.0004753,0.0004753
55,9031.95,1.75705,1.03254,0.87219,0.94513,0.73274,0.82909,0.40162,1.83239,1.07338,0.90493,0.0004654,0.0004654,0.0004654
56,9196.36,1.82643,1.05572,0.864,0.96089,0.71229,0.82183,0.40437,1.81787,1.10648,0.90537,0.0004555,0.0004555,0.0004555
57,9360.91,1.75521,1.01933,0.85268,0.93826,0.74091,0.83717,0.41716,1.81976,1.05291,0.90157,0.0004456,0.0004456,0.0004456
58,9525.14,1.75149,1.00822,0.85888,0.93219,0.75949,0.83752,0.40793,1.85911,1.04676,0.91062,0.0004357,0.0004357,0.0004357
59,9689.01,1.70745,0.99851,0.86127,0.89216,0.77795,0.83829,0.41014,1.81864,1.04535,0.90406,0.0004258,0.0004258,0.0004258
60,9853.17,1.78359,1.04817,0.84838,0.92927,0.76528,0.84754,0.41699,1.81354,1.03982,0.89893,0.0004159,0.0004159,0.0004159
61,10017.7,1.77094,1.02158,0.86387,0.92805,0.76218,0.83483,0.41246,1.81843,1.04022,0.89917,0.000406,0.000406,0.000406
62,10182.4,1.71857,0.98063,0.85696,0.96336,0.76208,0.84748,0.42182,1.80316,0.98887,0.89892,0.0003961,0.0003961,0.0003961
63,10346.8,1.77001,1.01037,0.85629,0.94387,0.75467,0.84625,0.41493,1.84192,1.02238,0.90352,0.0003862,0.0003862,0.0003862
64,10510.8,1.73806,1.00896,0.85541,0.94812,0.77739,0.85137,0.41143,1.79708,1.00758,0.89567,0.0003763,0.0003763,0.0003763
65,10675.8,1.7456,0.99986,0.8554,0.92908,0.75728,0.84106,0.41853,1.80145,1.02862,0.89456,0.0003664,0.0003664,0.0003664
66,10839.8,1.71125,0.94673,0.85948,0.89904,0.77141,0.83151,0.41967,1.79662,1.02866,0.89518,0.0003565,0.0003565,0.0003565
67,11004.5,1.72163,0.98674,0.84748,0.90368,0.78928,0.84418,0.41314,1.80234,1.01834,0.89718,0.0003466,0.0003466,0.0003466
68,11169.1,1.68447,0.94396,0.85469,0.90693,0.75412,0.83535,0.41081,1.80942,1.00376,0.90011,0.0003367,0.0003367,0.0003367
69,11333.7,1.65791,0.9403,0.85195,0.93787,0.77464,0.84654,0.41832,1.81593,0.97975,0.90065,0.0003268,0.0003268,0.0003268
70,11497.8,1.65553,0.93362,0.83699,0.94649,0.74948,0.83126,0.41926,1.77563,1.04122,0.89922,0.0003169,0.0003169,0.0003169
71,11661.7,1.69519,0.9673,0.84266,0.94934,0.77283,0.85274,0.42736,1.78435,0.98706,0.89626,0.000307,0.000307,0.000307
72,11826.3,1.69655,0.93922,0.84175,0.91852,0.7673,0.84482,0.41201,1.84561,0.99706,0.90477,0.0002971,0.0002971,0.0002971
73,11990.3,1.70635,0.96086,0.84034,0.90515,0.80357,0.85457,0.42618,1.80674,0.97478,0.8962,0.0002872,0.0002872,0.0002872
74,12154,1.66318,0.92232,0.83753,0.89182,0.79708,0.85281,0.42886,1.80221,0.99103,0.89358,0.0002773,0.0002773,0.0002773
75,12318.1,1.64108,0.92521,0.83931,0.94591,0.78078,0.85388,0.43114,1.79184,0.97068,0.89039,0.0002674,0.0002674,0.0002674
76,12484.8,1.64122,0.92987,0.83898,0.9168,0.77259,0.84332,0.4278,1.80098,0.98507,0.89411,0.0002575,0.0002575,0.0002575
77,12661.3,1.67957,0.91836,0.83643,0.95501,0.77,0.85894,0.42914,1.82134,0.9839,0.8943,0.0002476,0.0002476,0.0002476
78,12821.7,1.67238,0.94246,0.83787,0.91113,0.79525,0.85319,0.43669,1.79131,0.97062,0.89149,0.0002377,0.0002377,0.0002377
79,12984,1.64669,0.92307,0.83448,0.91093,0.78821,0.84817,0.43081,1.80026,0.96416,0.89298,0.0002278,0.0002278,0.0002278
80,13144.1,1.58395,0.8602,0.8455,0.93342,0.78883,0.86025,0.43637,1.79075,0.95436,0.89253,0.0002179,0.0002179,0.0002179
81,13303.9,1.62225,0.89312,0.83486,0.92432,0.77158,0.8563,0.44373,1.77183,0.96724,0.88913,0.000208,0.000208,0.000208
82,13463,1.57639,0.86489,0.84275,0.93634,0.77902,0.85342,0.43715,1.75491,0.9496,0.89252,0.0001981,0.0001981,0.0001981
83,13621.5,1.59337,0.88507,0.83787,0.93135,0.78921,0.85603,0.43218,1.78168,0.95228,0.89336,0.0001882,0.0001882,0.0001882
84,13783.7,1.63089,0.91026,0.83584,0.9199,0.78959,0.85686,0.44274,1.76078,0.95873,0.89121,0.0001783,0.0001783,0.0001783
85,13942.3,1.57938,0.86649,0.83032,0.89152,0.79463,0.84166,0.43853,1.7716,0.95723,0.89255,0.0001684,0.0001684,0.0001684
86,14106.3,1.58188,0.86351,0.82802,0.92627,0.77445,0.84414,0.43886,1.74179,0.96279,0.88568,0.0001585,0.0001585,0.0001585
87,14262.5,1.5824,0.8724,0.83741,0.92036,0.77515,0.84074,0.43456,1.76597,0.94909,0.88644,0.0001486,0.0001486,0.0001486
88,14421.4,1.60243,0.87724,0.82686,0.90974,0.79764,0.86176,0.44087,1.74205,0.9358,0.88281,0.0001387,0.0001387,0.0001387
