Defect class,Instances,Precision,Recall,mAP50,mAP50-95
missing_hole,70,0.8852157147059856,0.9857142857142858,0.990109489051095,0.5988572232329135
mouse_bite,48,0.9156031750809436,0.6781944486249233,0.7567828384112765,0.38096377066973075
open_circuit,61,0.9582347753385362,0.7540983606557377,0.8803672147971504,0.41120590790648076
short,55,0.9292927613666512,0.8545454545454545,0.912294354280043,0.4605487931454742
spur,90,0.9843398731943155,0.6984263191053364,0.8102098083480738,0.41686715757357656
spurious_copper,101,0.9208245050523775,0.7128712871287128,0.8221869795122497,0.40838049199058374
