Defect class,Instances,Precision,Recall,mAP50,mAP50-95
missing_hole,70,0.9806399749529938,1.0,0.995,0.6023617870632332
mouse_bite,48,0.8916311553132825,0.6875,0.8136449484392155,0.4136218010647387
open_circuit,61,0.9284686348451748,0.8032786885245902,0.9109004550950062,0.41600681788676797
short,55,0.9418652718090671,0.8837981868948243,0.9353549763595576,0.4419198491966772
spur,90,0.9397309085024168,0.6930279927713525,0.8351602603831634,0.41965760469339014
spurious_copper,101,0.9296122639044455,0.8217821782178217,0.9005648978234807,0.423091234423731
