Defect class,Instances,Precision,Recall,mAP50,mAP50-95
missing_hole,70,0.9941304388971389,0.9857142857142858,0.9928651685393258,0.59269953666227
mouse_bite,48,0.8939173966993329,0.7083333333333334,0.7639435131098331,0.4138385432590388
open_circuit,61,0.9594797950438713,0.8524590163934426,0.9328160817844557,0.4170380882819412
short,55,0.9429646233321325,0.9018818297173151,0.9644209735870328,0.4735806031417553
spur,90,0.9529135984438428,0.6746208478724973,0.8080536198246862,0.3833057990356661
spurious_copper,101,0.918496718900942,0.7810622562459497,0.8847543135742382,0.42457225659119324
